Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,2117570.63,10.0417771,9999.475,,,0.00484973015430452,4.43080088080983E-5,,,,,,,,,5,125,0,6.92199964541942,0.0755307589122187,5.90118125081483E-5,4370,0,10.0093231,10.0742311,9999.475,9999.475,0.0628091454886642,10.05365,,,,,,,,,,,,,,,,,,,,,,,10.0417771
,2117690.20,11.03940485,9999.475,,,0.00475393418436386,4.38511530744536E-5,,,,,,,,,5,125,0,6.48399973288178,0.0755307589122187,5.87175694428275E-5,4370,0,11.01336,11.0654497,9999.475,9999.475,0.0634733070240751,11.0426,,,,,,,,,,,,,,,,,,,,,,,11.03940485
,2117812.41,12.04469825,9999.475,,,0.0046763092957125,4.40420690251797E-5,,,,,,,,,5,125,0,7.03100000973791,0.0755307589122187,5.88104064146708E-5,4370,0,12.0169487,12.0724478,9999.475,9999.475,0.0582727069717309,12.06695,,,,,,,,,,,,,,,,,,,,,,,12.04469825
,2117932.13,13.04526755,9999.475,,,0.00461864521362861,4.47479549902978E-5,,,,,,,,,5,125,0,6.92199964541942,0.0755307589122187,5.84791668652262E-5,4370,0,13.0146093,13.0759258,9999.475,9999.475,0.0596828310005238,13.05415,,,,,,,,,,,,,,,,,,,,,,,13.04526755
,2118051.71,14.03891325,9999.475,,,0.00456444380969316,4.45333529050062E-5,,,,,,,,,5,125,0,6.93800048902631,0.0755307589122187,5.83059403367588E-5,4370,0,14.009738,14.0680885,9999.475,9999.475,0.061645265016231,14.0542,,,,,,,,,,,,,,,,,,,,,,,14.03891325
,2118172.44,15.03521635,9999.475,,,0.00453188363624539,4.51283326817159E-5,,,,,,,,,5,125,0,6.73499980475754,0.0755307589122187,5.82680794488004E-5,4370,0,15.0059319,15.0645008,9999.475,9999.475,0.0576665340094867,15.05895,,,,,,,,,,,,,,,,,,,,,,,15.03521635
,2118292.97,16.03968715,9999.475,,,0.00447200997541847,4.34899981425956E-5,,,,,,,,,5,125,0,6.46800014656037,0.0755307589122187,5.81050528855821E-5,4370,0,16.0099144,16.0694599,9999.475,9999.475,0.0564010784825331,16.06575,,,,,,,,,,,,,,,,,,,,,,,16.03968715
,2118414.25,17.04463675,9999.475,,,0.00443068803495877,4.53942852034394E-5,,,,,,,,,5,125,0,6.76499989349395,0.0755307589122187,5.75203448078221E-5,4370,0,17.0112381,17.0780354,9999.475,9999.475,0.0675144149715929,17.06375,,,,,,,,,,,,,,,,,,,,,,,17.04463675
,2118533.93,18.0407076,9999.475,,,0.00436904348830042,4.49425660137028E-5,,,,,,,,,5,125,0,7.15599996037781,0.0755307589122187,5.75904959439956E-5,4370,0,18.0120106,18.0694046,9999.475,9999.475,0.0604450828620219,18.05975,,,,,,,,,,,,,,,,,,,,,,,18.0407076
,2118654.74,19.0448666,9999.475,,,0.00428865828407036,4.62309793545082E-5,,,,,,,,,5,125,0,7.00000037904829,0.0755307589122187,5.78630397191276E-5,4370,0,19.014782,19.0749512,9999.475,9999.475,0.0479064738048611,19.07135,,,,,,,,,,,,,,,,,,,,,,,19.0448666
